tmk,building_value,land_value,total_value,land_class,n
34031031,864900,887400,1752300,RESIDENTIAL,2
34031032,16000,1024600,1040600,RESIDENTIAL,1
34031033,64100,1029200,1093300,RESIDENTIAL A,1
34031034,70000,1071600,1141600,RESIDENTIAL,1
34031035,185600,983100,1168700,RESIDENTIAL,1
34031036,440900,918000,1358900,RESIDENTIAL,1
34031037,39600,992100,1031700,RESIDENTIAL,1
34031038,53400,918000,971400,RESIDENTIAL,1
34031039,299700,1020000,1319700,RESIDENTIAL,1
34031040,336000,969000,1305000,RESIDENTIAL,1
34031041,256100,1071900,1328000,RESIDENTIAL,1
34031042,139600,918000,1057600,RESIDENTIAL A,1
34031043,133500,1015800,1149300,RESIDENTIAL,1
34031044,51600,984300,1035900,RESIDENTIAL A,1
34031045,121100,967400,1088500,RESIDENTIAL,1
34031046,55200,924700,979900,RESIDENTIAL,1
34031047,67500,925400,992900,RESIDENTIAL,1
34031048,279100,1024600,1303700,RESIDENTIAL,1
34031049,398200,996900,1395100,RESIDENTIAL,1
34031050,117900,1012800,1130700,RESIDENTIAL,1
34031051,371200,1012800,1384000,RESIDENTIAL,1
34031052,121200,1036000,1157200,RESIDENTIAL A,1
34031053,423700,1042200,1465900,RESIDENTIAL,1
34031054,97600,1103200,1200800,RESIDENTIAL,1
34031055,77900,1021900,1099800,RESIDENTIAL,1
34031056,135600,1015500,1151100,RESIDENTIAL,1
34031057,53900,826300,880200,RESIDENTIAL,1
34031058,61600,919800,981400,RESIDENTIAL,1
34031059,57400,919800,977200,RESIDENTIAL,1
34031060,69100,918400,987500,RESIDENTIAL,1
34031061,71800,1028000,1099800,RESIDENTIAL,1
34031062,32300,1046100,1078400,RESIDENTIAL,1
34031063,280500,1032600,1313100,RESIDENTIAL,1
34031064,476000,1058300,1534300,RESIDENTIAL,1
34031065,76500,905900,982400,RESIDENTIAL,1
34031066,333800,905900,1239700,RESIDENTIAL,1
34031067,152800,905900,1058700,RESIDENTIAL,1
34031068,52600,905900,958500,RESIDENTIAL,1
34031069,82700,905900,988600,RESIDENTIAL,1
34031070,123900,916100,1040000,RESIDENTIAL A,2
34031070,123900,916100,1040000,RESIDENTIAL A,2
34031071,273800,1028700,1302500,RESIDENTIAL,1
34031072,238300,977600,1215900,RESIDENTIAL,1
34031073,80800,996600,1077400,RESIDENTIAL,1
34031074,52700,1005100,1057800,RESIDENTIAL,1
34031075,73300,1052700,1126000,RESIDENTIAL,1
34031076,55400,816100,871500,RESIDENTIAL,1
34031077,95900,798300,894200,RESIDENTIAL,1
34031078,5300,969200,974500,RESIDENTIAL,1
34031080,82400,965200,1047600,RESIDENTIAL A,1
34031081,153800,943800,1097600,RESIDENTIAL,1
34031082,56700,953300,1010000,RESIDENTIAL A,1
34031083,60000,938200,998200,RESIDENTIAL,1
34031084,5800,933300,939100,RESIDENTIAL,1
34031085,145800,946900,1092700,RESIDENTIAL A,1
34031086,142000,914300,1056300,RESIDENTIAL,1
34031087,708500,710600,1419100,RESIDENTIAL,1
34031088,142600,913700,1056300,RESIDENTIAL,1
34031089,529600,1016900,1546500,RESIDENTIAL A,1
34031090,278500,1057000,1335500,RESIDENTIAL A,1
34031091,50000,969900,1019900,RESIDENTIAL,1
34031092,509300,991900,1501200,RESIDENTIAL,1
34031093,88800,1015200,1104000,RESIDENTIAL A,1
34031094,221500,1005100,1226600,RESIDENTIAL,1
34031095,322300,1010800,1333100,RESIDENTIAL,1
34031096,65200,1028600,1093800,RESIDENTIAL,1
34031097,94600,1027000,1121600,RESIDENTIAL,1
34031098,153200,1028600,1181800,RESIDENTIAL,1
34031099,106000,1023600,1129600,RESIDENTIAL,1
34031100,224300,977700,1202000,RESIDENTIAL,1
34031101,56600,1024000,1080600,RESIDENTIAL,1
34031102,222400,1048200,1270600,RESIDENTIAL,1
34031103,278400,1024400,1302800,RESIDENTIAL,1
34031104,44800,1000500,1045300,RESIDENTIAL A,1
34031105,45600,912000,957600,RESIDENTIAL,1
34031106,227700,1027000,1254700,RESIDENTIAL,1
34032001,48100,926200,974300,RESIDENTIAL,1
34032002,707600,917500,1625100,RESIDENTIAL,1
34032003,537600,909000,1446600,RESIDENTIAL,1
34032004,80800,994100,1074900,RESIDENTIAL,1
34032005,309900,1012300,1322200,RESIDENTIAL,1
34032006,56000,1011800,1067800,RESIDENTIAL A,1
34032007,110000,1011300,1121300,RESIDENTIAL,1
34032008,82100,1010800,1092900,RESIDENTIAL,1
34032009,21900,1037300,1059200,RESIDENTIAL,1
34032010,615600,1037100,1652700,RESIDENTIAL,1
34032011,701800,1009300,1711100,RESIDENTIAL,1
34032012,86900,1009800,1096700,RESIDENTIAL,1
34032013,119800,1009800,1129600,RESIDENTIAL A,1
34032014,29300,1009800,1039100,RESIDENTIAL A,1
34032015,71100,1009800,1080900,RESIDENTIAL A,1
34032016,96200,1021200,1117400,RESIDENTIAL A,1
34032017,55000,1013000,1068000,RESIDENTIAL A,1
34032018,70700,1001300,1072000,RESIDENTIAL,1
34032021,67100,1023000,1090100,RESIDENTIAL,1
34032022,65700,940300,1006000,RESIDENTIAL,1
34032023,74300,882900,957200,RESIDENTIAL,1
34032024,78900,921500,1000400,RESIDENTIAL A,1
34032025,54500,928400,982900,RESIDENTIAL,1
34032026,587900,946400,1534300,RESIDENTIAL,1
34032027,150900,943100,1094000,RESIDENTIAL,1
34032028,22800,955600,978400,RESIDENTIAL,1
34032029,330300,938100,1268400,RESIDENTIAL,1
34032030,47400,922800,970200,RESIDENTIAL,1
34032031,167000,925500,1092500,RESIDENTIAL,1
34032032,526200,919600,1445800,RESIDENTIAL,1
34032033,197200,985100,1182300,RESIDENTIAL,1
34032034,265300,1047600,1312900,RESIDENTIAL,1
34032035,1534000,1050000,2584000,RESIDENTIAL,1
34032036,387100,1013800,1400900,RESIDENTIAL,1
34032037,226500,919900,1146400,RESIDENTIAL,1
34032038,244400,1022500,1266900,RESIDENTIAL,1
34032039,791300,1037400,1828700,RESIDENTIAL,1
34032040,62600,1028300,1090900,RESIDENTIAL,1
34032041,313600,1065900,1379500,RESIDENTIAL,1
34032042,55500,1036300,1091800,RESIDENTIAL,1
34032043,57000,1010200,1067200,RESIDENTIAL,1
34032044,52800,1008500,1061300,RESIDENTIAL,1
34032045,107600,950900,1058500,RESIDENTIAL,1
34032046,7700,971900,979600,RESIDENTIAL,1
34032047,208000,971300,1179300,RESIDENTIAL,1
34032048,63000,971900,1034900,RESIDENTIAL A,1
34032049,318800,971900,1290700,RESIDENTIAL,1
34032050,396100,971900,1368000,RESIDENTIAL A,1
34032051,259300,920700,1180000,RESIDENTIAL,1
34032052,219200,920700,1139900,RESIDENTIAL,1
34032053,583100,1018200,1601300,RESIDENTIAL,1
34032054,1015300,1435400,2450700,RESIDENTIAL,1
34032056,67400,905100,972500,RESIDENTIAL,4
34032056,46000,1032900,1078900,RESIDENTIAL A,4
34032056,74200,1087500,1161700,RESIDENTIAL A,4
34032056,66700,1117900,1184600,RESIDENTIAL A,4
34032058,657700,872300,1530000,RESIDENTIAL,3
34032058,657700,872300,1530000,RESIDENTIAL,3
34032058,587500,976300,1563800,RESIDENTIAL,3
34032059,0,1550100,1550100,RESIDENTIAL A,1
34032060,237800,1146700,1384500,RESIDENTIAL,1
34032061,616700,1691400,2308100,RESIDENTIAL,1
34032062,167500,1525700,1693200,RESIDENTIAL,1
34032065,98700,995200,1093900,RESIDENTIAL,1
34032066,240600,1047500,1288100,RESIDENTIAL,1
34033002,17300,770800,788100,RESIDENTIAL,1
34033003,110000,701300,811300,RESIDENTIAL,1
34033004,205700,722500,928200,RESIDENTIAL,1
34033005,269900,642900,912800,RESIDENTIAL,2
34033005,66800,670700,737500,RESIDENTIAL,2
34033006,46700,763100,809800,RESIDENTIAL,1
34033007,386100,735300,1121400,RESIDENTIAL,1
34033008,8600,735600,744200,RESIDENTIAL,1
34033009,115000,735600,850600,RESIDENTIAL,1
34033010,4600,735600,740200,RESIDENTIAL,1
34033011,189600,735300,924900,RESIDENTIAL,1
34033013,98000,735600,833600,RESIDENTIAL,1
34033014,13900,756800,770700,RESIDENTIAL,1
34033015,18500,750800,769300,RESIDENTIAL,1
34033017,10000,750300,760300,RESIDENTIAL,1
34033018,28400,750300,778700,RESIDENTIAL,1
34033020,13900,750300,764200,RESIDENTIAL,2
34033020,13900,750300,764200,RESIDENTIAL,2
34033021,28100,750300,778400,RESIDENTIAL,1
34033023,204100,750300,954400,RESIDENTIAL,1
34033024,18100,750300,768400,RESIDENTIAL,1
34033025,107300,750300,857600,RESIDENTIAL,1
34033026,18700,753800,772500,RESIDENTIAL,1
34033027,49600,759600,809200,RESIDENTIAL,1
34033028,190900,679500,870400,RESIDENTIAL,1
34033029,2700,679500,682200,RESIDENTIAL,1
34033030,38200,679500,717700,RESIDENTIAL,1
34033031,27500,679500,707000,RESIDENTIAL,1
34033032,20100,679500,699600,RESIDENTIAL,1
34033033,12400,694000,706400,RESIDENTIAL,1
34033037,52000,766000,818000,RESIDENTIAL,1
34033039,215600,1503800,1719400,RESIDENTIAL,3
34033039,215600,1503800,1719400,RESIDENTIAL,3
34033039,215600,1503800,1719400,RESIDENTIAL,3
34033040,118100,675100,793200,RESIDENTIAL,1
34033041,358000,676600,1034600,RESIDENTIAL,1
34033042,441700,737600,1179300,RESIDENTIAL,1
34033043,9600,737600,747200,RESIDENTIAL,1
34033044,21100,737600,758700,RESIDENTIAL,1
34033045,39900,735100,775000,RESIDENTIAL,1
34033046,13100,746500,759600,RESIDENTIAL,1
34033047,60400,736800,797200,RESIDENTIAL,1
34033048,3100,746500,749600,RESIDENTIAL,1
34033049,18600,751300,769900,RESIDENTIAL,1
34033050,56400,750100,806500,RESIDENTIAL,1
34033051,25200,750100,775300,RESIDENTIAL,1
34033052,29300,750100,779400,RESIDENTIAL,1
34033053,135400,753400,888800,RESIDENTIAL,1
34033054,67900,750400,818300,RESIDENTIAL,1
34033056,206200,592600,798800,RESIDENTIAL,1
34033058,59500,769300,828800,RESIDENTIAL,1
34033059,179000,766500,945500,RESIDENTIAL,1
34033060,62200,729800,792000,RESIDENTIAL,1
34033061,26300,702500,728800,RESIDENTIAL,1
34033062,33000,675000,708000,RESIDENTIAL,1
34033068,49300,750200,799500,RESIDENTIAL,1
34033069,340100,750000,1090100,RESIDENTIAL,1
34033070,11600,750000,761600,RESIDENTIAL,1
34033071,50300,750000,800300,RESIDENTIAL,1
34033072,3900,750000,753900,RESIDENTIAL,1
34033073,0,750000,750000,RESIDENTIAL,1
34033074,129100,750000,879100,RESIDENTIAL,1
34033075,156700,750000,906700,RESIDENTIAL,1
34033076,177700,750000,927700,RESIDENTIAL,1
34033077,57500,744700,802200,RESIDENTIAL,1
34033078,76500,755100,831600,RESIDENTIAL,1
34033079,165600,1007400,1173000,RESIDENTIAL A,1
34033080,20800,719600,740400,RESIDENTIAL,1
34033081,18300,674600,692900,RESIDENTIAL,1
34034002,46000,750000,796000,RESIDENTIAL,1
34034003,18800,742500,761300,RESIDENTIAL,1
34034004,71400,735000,806400,RESIDENTIAL,1
34034005,16700,742500,759200,RESIDENTIAL,1
34034006,150800,742500,893300,RESIDENTIAL,1
34034007,19400,742500,761900,RESIDENTIAL,1
34034008,13300,747300,760600,RESIDENTIAL,1
34034009,0,498300,498300,RESIDENTIAL,1
34034010,93800,816000,909800,RESIDENTIAL,1
34034011,25800,746200,772000,RESIDENTIAL,1
34034012,406300,754500,1160800,RESIDENTIAL,1
34034013,374100,739400,1113500,RESIDENTIAL,1
34034014,11100,754500,765600,RESIDENTIAL,1
34034015,105800,754600,860400,RESIDENTIAL,1
34034016,0,558600,558600,RESIDENTIAL,1
34034017,78800,981600,1060400,RESIDENTIAL,1
34034018,465800,884600,1350400,RESIDENTIAL,1
34034019,443200,750400,1193600,RESIDENTIAL A,1
34034020,0,642500,642500,RESIDENTIAL,1
34034021,46400,766300,812700,RESIDENTIAL,1
34035001,67400,1054600,1122000,RESIDENTIAL,1
34035002,0,100,100,RESIDENTIAL,1
34035003,210900,808600,1019500,RESIDENTIAL,1
34035004,39200,750000,789200,RESIDENTIAL,1
34035005,24900,750600,775500,RESIDENTIAL,1
34035006,44400,751000,795400,RESIDENTIAL,1
34035007,372200,646600,1018800,RESIDENTIAL,1
34035009,337100,845800,1182900,RESIDENTIAL,1
34035010,163700,759000,922700,RESIDENTIAL,1
34035011,56900,751500,808400,RESIDENTIAL,2
34035011,56900,751500,808400,RESIDENTIAL,2
34035012,39800,750600,790400,RESIDENTIAL,1
34035013,197700,805400,1003100,RESIDENTIAL,1
34035014,31900,750000,781900,RESIDENTIAL,1
34035015,33600,750300,783900,RESIDENTIAL,1
34035016,79000,750300,829300,RESIDENTIAL,1
34035017,17200,756500,773700,RESIDENTIAL,1
34035018,396200,784300,1180500,RESIDENTIAL,1
34035019,41200,1039200,1080400,RESIDENTIAL,1
34035020,99200,877300,976500,RESIDENTIAL,1
34035021,752100,622700,1374800,RESIDENTIAL,2
34035021,78300,675200,753500,RESIDENTIAL,2
34035022,32900,769500,802400,RESIDENTIAL,1
34035025,115900,867000,982900,RESIDENTIAL,1
34036001,266200,725500,991700,RESIDENTIAL,1
34036002,209200,875600,1084800,RESIDENTIAL,1
34036003,200600,797400,998000,RESIDENTIAL,1
34036004,109100,720600,829700,RESIDENTIAL,1
34036005,701500,1664800,2366300,RESIDENTIAL,1
34036006,618200,718300,1336500,RESIDENTIAL A,1
34036007,56700,750000,806700,RESIDENTIAL,1
34036008,116000,750000,866000,RESIDENTIAL,1
34036009,57600,750000,807600,RESIDENTIAL,1
34036010,400100,751300,1151400,RESIDENTIAL,1
34036011,133000,724500,857500,RESIDENTIAL,1
34036012,195200,720500,915700,RESIDENTIAL,1
34036013,61600,722100,783700,RESIDENTIAL,1
34036014,125600,720100,845700,RESIDENTIAL,1
34036015,208500,729900,938400,RESIDENTIAL,1
34036016,75000,731300,806300,RESIDENTIAL,1
34036017,60100,736900,797000,RESIDENTIAL,1
34036018,37400,737600,775000,RESIDENTIAL,1
34036019,464800,561200,1026000,RESIDENTIAL,2
34036019,586000,758100,1344100,RESIDENTIAL,2
34036021,15300,743100,758400,RESIDENTIAL,2
34036021,413100,1185200,1598300,RESIDENTIAL,2
35001001,287100,2988500,3275600,RESIDENTIAL A,1
35001002,232000,4658500,4890500,RESIDENTIAL,1
35001003,387900,4864400,5252300,RESIDENTIAL A,1
35001004,3539900,5308200,8848100,RESIDENTIAL A,1
35001005,2015900,3480300,5496200,RESIDENTIAL A,1
35001006,2516500,5862000,8378500,RESIDENTIAL,1
35001007,1986900,6215900,8202800,RESIDENTIAL A,1
35001008,0,100,100,RESIDENTIAL,1
35001009,303100,4728900,5032000,RESIDENTIAL A,1
35001010,992700,5983200,6975900,RESIDENTIAL,1
35001011,0,4669500,4669500,RESIDENTIAL A,1
35001012,469800,1811800,2281600,RESIDENTIAL,2
35001012,469800,1811800,2281600,RESIDENTIAL,2
35001013,16100,1473800,1489900,RESIDENTIAL A,1
35001014,160500,2390400,2550900,RESIDENTIAL,1
35001015,554000,1854300,2408300,RESIDENTIAL A,1
35001016,1353200,2283500,3636700,RESIDENTIAL A,1
35001017,177000,2298600,2475600,RESIDENTIAL,1
35001020,933600,2302800,3236400,RESIDENTIAL A,1
35001021,101600,1400200,1501800,RESIDENTIAL,1
35001022,674500,2001500,2676000,RESIDENTIAL,1
35001023,1872600,2137000,4009600,RESIDENTIAL,1
35001024,892500,2045200,2937700,RESIDENTIAL,1
35001025,201800,1435500,1637300,RESIDENTIAL,1
35001026,594200,1840500,2434700,RESIDENTIAL,1
35001027,268500,1663300,1931800,RESIDENTIAL,1
35001028,1260600,2349000,3609600,RESIDENTIAL,1
35001030,73600,1169500,1243100,RESIDENTIAL,1
35001031,26000,1897500,1923500,RESIDENTIAL,1
35001032,2215700,2162300,4378000,RESIDENTIAL A,1
35001033,357200,2047300,2404500,RESIDENTIAL A,1
35001037,1417200,3852100,5269300,RESIDENTIAL A,1
35001038,691000,2309800,3000800,RESIDENTIAL A,1
35001039,0,40200,40200,RESIDENTIAL,1
35002001,2558500,6289700,8848200,RESIDENTIAL,1
35002002,3894900,9300200,13195100,RESIDENTIAL A,1
35002003,1866500,8311500,10178000,RESIDENTIAL A,1
35002004,5705100,6266400,11971500,RESIDENTIAL A,1
35002005,4051400,6550000,10601400,RESIDENTIAL,1
35002006,1725600,4383100,6108700,RESIDENTIAL,1
35002008,3618400,8876900,12495300,RESIDENTIAL A,1
35002009,0,3819400,3819400,RESIDENTIAL A,1
35002010,180700,2674000,2854700,RESIDENTIAL A,1
35002011,1659300,3151400,4810700,RESIDENTIAL,1
35002012,2447000,3005600,5452600,RESIDENTIAL,1
35002013,151600,3050000,3201600,RESIDENTIAL,1
35002014,1789800,3050000,4839800,RESIDENTIAL,1
35002015,280400,3050000,3330400,RESIDENTIAL,1
35002016,2124800,2775000,4899800,RESIDENTIAL,1
35002017,3157800,3052300,6210100,RESIDENTIAL,1
35002018,1789300,3050000,4839300,RESIDENTIAL,1
35002019,2507700,2766500,5274200,RESIDENTIAL A,1
35002020,1902700,2249600,4152300,RESIDENTIAL,1
35002021,2906200,2459600,5365800,RESIDENTIAL,1
35002022,615000,2567900,3182900,RESIDENTIAL A,1
35002023,750700,2776800,3527500,RESIDENTIAL,1
35002024,133000,2985500,3118500,RESIDENTIAL,1
35002025,1249900,3090000,4339900,RESIDENTIAL,1
35002026,538900,4171500,4710400,RESIDENTIAL,1
35002027,1029200,2396500,3425700,RESIDENTIAL,1
35002028,2387100,4691400,7078500,RESIDENTIAL,1
35002029,1158700,3791600,4950300,RESIDENTIAL A,1
35002030,1362800,4122800,5485600,RESIDENTIAL A,1
35002031,379600,2558500,2938100,RESIDENTIAL A,1
35002032,308300,2978100,3286400,RESIDENTIAL,1
35002033,801800,2860100,3661900,RESIDENTIAL,1
35002034,724500,3101600,3826100,RESIDENTIAL,1
35002035,2515500,3101100,5616600,RESIDENTIAL,1
35002036,1638900,2216400,3855300,RESIDENTIAL,1
35002037,1880700,2113500,3994200,RESIDENTIAL A,1
35002038,1640400,2063300,3703700,RESIDENTIAL,1
35002039,715100,2383800,3098900,RESIDENTIAL,1
35002040,65700,2077600,2143300,RESIDENTIAL A,1
35002041,1434300,2300900,3735200,RESIDENTIAL,1
35002042,282800,2587300,2870100,RESIDENTIAL,1
35002043,445100,2793000,3238100,RESIDENTIAL A,1
35002044,1248900,2856300,4105200,RESIDENTIAL,1
35002045,46400,3401600,3448000,RESIDENTIAL A,1
35002046,2496400,2246300,4742700,RESIDENTIAL A,1
35002047,309800,3347000,3656800,RESIDENTIAL,1
35002048,161200,2149100,2310300,RESIDENTIAL,1
35002049,1639800,2485200,4125000,RESIDENTIAL A,2
35002049,1639800,2485200,4125000,RESIDENTIAL A,2
35002050,4605200,5629500,10234700,RESIDENTIAL,1
35003001,935800,6331400,7267200,RESIDENTIAL A,1
35003002,0,6273600,6273600,RESIDENTIAL A,1
35003003,0,6272200,6272200,RESIDENTIAL A,1
35003004,4073200,4407500,8480700,RESIDENTIAL,1
35003005,1957600,6000900,7958500,RESIDENTIAL A,1
35003006,4690300,6572500,11262800,RESIDENTIAL A,1
35003007,0,8497900,8497900,RESIDENTIAL A,1
35003008,0,8798100,8798100,RESIDENTIAL A,1
35003009,0,8892900,8892900,RESIDENTIAL A,1
35003010,0,8703600,8703600,RESIDENTIAL A,1
35003011,2203800,6345600,8549400,RESIDENTIAL,1
35003012,1338500,8798100,10136600,RESIDENTIAL,1
35003013,171800,2585000,2756800,RESIDENTIAL,1
35003014,648900,2455800,3104700,RESIDENTIAL,1
35003015,4517700,2585000,7102700,RESIDENTIAL,1
35003016,1981500,2585000,4566500,RESIDENTIAL,1
35003017,34600,2404100,2438700,RESIDENTIAL,1
35003018,1228800,2769300,3998100,RESIDENTIAL,1
35003019,4644700,2832500,7477200,RESIDENTIAL A,1
35003020,4034100,2377400,6411500,RESIDENTIAL,2
35003020,4034100,2377400,6411500,RESIDENTIAL,2
35003021,2942700,2484500,5427200,RESIDENTIAL A,1
35003022,0,1966500,1966500,RESIDENTIAL A,1
35003023,2434900,2857300,5292200,RESIDENTIAL,1
35003024,148100,2448000,2596100,RESIDENTIAL,1
35003025,1635900,2448000,4083900,RESIDENTIAL,1
35003026,1438300,2448000,3886300,RESIDENTIAL,2
35003026,1438300,2448000,3886300,RESIDENTIAL,2
35003027,673600,2448000,3121600,RESIDENTIAL,1
35003031,198900,2610000,2808900,RESIDENTIAL A,1
35003033,2456100,2610000,5066100,RESIDENTIAL A,1
35003034,0,6393600,6393600,RESIDENTIAL A,1
35003035,4196300,6824700,11021000,RESIDENTIAL A,1
35003036,2010100,2474900,4485000,RESIDENTIAL,1
35003037,385100,2474900,2860000,RESIDENTIAL A,1
35004001,1727900,12128600,13856500,RESIDENTIAL A,1
35004003,1616500,5114000,6730500,RESIDENTIAL A,1
35004004,4448300,17653400,22101700,RESIDENTIAL A,1
35004006,682700,11206100,11888800,RESIDENTIAL A,2
35004006,682700,11206100,11888800,RESIDENTIAL A,2
35004007,1017200,11177000,12194200,RESIDENTIAL A,1
35004008,1697100,11877800,13574900,RESIDENTIAL A,4
35004008,1697100,11877800,13574900,RESIDENTIAL A,4
35004008,1697100,11877800,13574900,RESIDENTIAL A,4
35004008,1697100,11877800,13574900,RESIDENTIAL A,4
35004009,2893800,10620100,13513900,RESIDENTIAL A,1
35004011,3922600,11462700,15385300,RESIDENTIAL A,1
35004012,182500,2585000,2767500,RESIDENTIAL A,1
35004013,336500,2585400,2921900,RESIDENTIAL A,1
35004014,572400,2585000,3157400,RESIDENTIAL A,1
35004015,825600,2585000,3410600,RESIDENTIAL A,1
35004016,298300,2563000,2861300,RESIDENTIAL A,1
35004017,3693900,2545400,6239300,RESIDENTIAL A,1
35004018,3503100,2469800,5972900,RESIDENTIAL A,1
35004019,480100,2244100,2724200,RESIDENTIAL,1
35004020,366300,2227500,2593800,RESIDENTIAL A,1
35004021,2515000,2475000,4990000,RESIDENTIAL A,1
35004022,83200,2475000,2558200,RESIDENTIAL,1
35004023,9700,2475000,2484700,RESIDENTIAL A,1
35004024,1358900,2475000,3833900,RESIDENTIAL A,1
35004025,184200,2529100,2713300,RESIDENTIAL,1
35004026,2200700,2546200,4746900,RESIDENTIAL A,1
35004027,3943500,3315800,7259300,RESIDENTIAL A,1
35004028,2810700,2984400,5795100,RESIDENTIAL,1
35004030,2371000,2585000,4956000,RESIDENTIAL A,1
35004031,51500,2454300,2505800,RESIDENTIAL A,1
35004032,966100,2469500,3435600,RESIDENTIAL,1
35004033,2549200,2473700,5022900,RESIDENTIAL,1
35004034,238700,2254700,2493400,RESIDENTIAL A,1
35004049,2648700,2454300,5103000,RESIDENTIAL,1
35004050,721500,2454300,3175800,RESIDENTIAL,1
35004051,548600,2454300,3002900,RESIDENTIAL,1
35005001,559300,12025200,12584500,RESIDENTIAL,1
35005002,4082000,10648900,14730900,RESIDENTIAL A,1
35005003,131100,3559500,3690600,RESIDENTIAL A,1
35005004,0,3286300,3286300,RESIDENTIAL A,1
35005005,3204600,9327900,12532500,RESIDENTIAL A,1
35005006,0,12846400,12846400,RESIDENTIAL A,1
35005008,0,3465000,3465000,RESIDENTIAL A,1
35005009,0,11849400,11849400,RESIDENTIAL A,1
35005010,5250800,11085800,16336600,RESIDENTIAL A,1
35005011,2450500,3960000,6410500,RESIDENTIAL,1
35005012,0,6006000,6006000,RESIDENTIAL A,1
35005013,0,10928600,10928600,RESIDENTIAL A,1
35005014,8160600,8511400,16672000,RESIDENTIAL A,1
35005015,1024900,8273700,9298600,RESIDENTIAL A,1
35005022,0,3004500,3004500,RESIDENTIAL A,1
35005023,1833000,2541100,4374100,RESIDENTIAL,1
35005024,4349100,2636300,6985400,RESIDENTIAL A,1
35005025,1514800,2618700,4133500,RESIDENTIAL A,1
35005026,638800,2585000,3223800,RESIDENTIAL,1
35005027,2132800,2585000,4717800,RESIDENTIAL,1
35005028,1300700,2915000,4215700,RESIDENTIAL,1
35005029,3265900,2915000,6180900,RESIDENTIAL A,1
35005030,222200,2455800,2678000,RESIDENTIAL,1
35005031,483500,2585000,3068500,RESIDENTIAL,1
35005032,2144300,2585000,4729300,RESIDENTIAL,1
35005035,40700,2585000,2625700,RESIDENTIAL A,1
35005036,526500,2585000,3111500,RESIDENTIAL A,2
35005036,526500,2585000,3111500,RESIDENTIAL A,2
35005037,469600,2448000,2917600,RESIDENTIAL,1
35005038,156100,2448000,2604100,RESIDENTIAL,2
35005038,156100,2448000,2604100,RESIDENTIAL,2
35005039,428300,2448000,2876300,RESIDENTIAL,1
35005040,1405900,2448000,3853900,RESIDENTIAL,1
35005041,345100,2448000,2793100,RESIDENTIAL,1
35005042,183500,2448000,2631500,RESIDENTIAL,1
35005049,2729600,2702300,5431900,RESIDENTIAL,2
35005049,1381000,2148100,3529100,RESIDENTIAL,2
35005051,243800,2417000,2660800,RESIDENTIAL,1
35005052,213200,2481500,2694700,RESIDENTIAL,1
35005053,2098400,2481300,4579700,RESIDENTIAL,1
35005054,819100,2481300,3300400,RESIDENTIAL,1
35005055,2886600,2481300,5367900,RESIDENTIAL A,1
35005059,7400,2448000,2455400,RESIDENTIAL,1
35005077,2314000,2448000,4762000,RESIDENTIAL A,1
35005078,77200,2385000,2462200,RESIDENTIAL A,1
35005079,894800,2577600,3472400,RESIDENTIAL,1
35005080,4794900,2585000,7379900,RESIDENTIAL,1
35005081,4489500,2585000,7074500,RESIDENTIAL A,2
35005081,4489500,2585000,7074500,RESIDENTIAL A,2
35006006,2947100,9504200,12451300,RESIDENTIAL,2
35006006,2947100,9504200,12451300,RESIDENTIAL,2
35006007,868900,4728700,5597600,RESIDENTIAL,1
35006009,0,8731200,8731200,RESIDENTIAL A,1
35006010,3610200,11075000,14685200,RESIDENTIAL,1
35006012,305100,1763500,2068600,RESIDENTIAL A,2
35006012,305100,1763500,2068600,RESIDENTIAL A,2
35006013,2206800,1890600,4097400,RESIDENTIAL A,1
35006014,497500,2024700,2522200,RESIDENTIAL A,1
35006015,0,8715600,8715600,RESIDENTIAL A,1
35006017,943000,3760800,4703800,RESIDENTIAL A,1
35006018,0,3306600,3306600,RESIDENTIAL A,1
35006019,3204800,8687200,11892000,RESIDENTIAL A,1
35006020,4239200,9551500,13790700,RESIDENTIAL,1
35006021,687200,2990200,3677400,RESIDENTIAL,1
35006022,272800,3272900,3545700,RESIDENTIAL,1
35007001,41000,2760000,2801000,RESIDENTIAL A,1
35007002,579500,2914500,3494000,RESIDENTIAL A,1
35007003,2487600,2750000,5237600,RESIDENTIAL,1
35007004,267200,2750000,3017200,RESIDENTIAL,1
35007005,1506700,2647700,4154400,RESIDENTIAL A,1
35007006,2799400,2647700,5447100,RESIDENTIAL,1
35007007,1387700,3594100,4981800,RESIDENTIAL A,1
35007008,1128200,2544600,3672800,RESIDENTIAL,1
35007009,2614900,3001200,5616100,RESIDENTIAL A,1
35007010,0,3852300,3852300,RESIDENTIAL A,1
35007011,765100,3610800,4375900,RESIDENTIAL,1
35007012,3336800,2946700,6283500,RESIDENTIAL A,1
35007013,2832100,2745600,5577700,RESIDENTIAL A,1
35007014,3641500,2832400,6473900,RESIDENTIAL,2
35007014,3641500,2832400,6473900,RESIDENTIAL,2
35007015,749300,2541200,3290500,RESIDENTIAL,1
35007016,781900,2582700,3364600,RESIDENTIAL A,1
35007017,0,2357900,2357900,RESIDENTIAL A,1
35007018,583800,2357900,2941700,RESIDENTIAL A,1
35007023,1658200,2618100,4276300,RESIDENTIAL,1
35007026,590300,2633800,3224100,RESIDENTIAL A,1
35007027,938900,2453400,3392300,RESIDENTIAL,1
35007028,306100,2500000,2806100,RESIDENTIAL A,1
35007034,40000,2524000,2564000,RESIDENTIAL,1
