tmk,lat,long,shape_area,shape_length,near_line,near_ce05,near_ce11,near_ce20,near_ce32,near_pf05,near_pf11,near_pf20,near_pf32,area,sa_ce05,sa_ce11,sa_ce20,sa_ce32,sa_pf05,sa_pf11,sa_pf20,sa_pf32,building_value,land_value,total_value,land_class,n,year_tce
56001028,21.66214222,-157.9319475,3948.206146,270.8266893,14.90423288,12.26307103,11.05869181,8.791620019,5.752996754,23.52350015,22.63383732,20.97374955,19.27177417,3812.80587847,85.5555378964,127.316282656,204.02260847,305.059182731,192.320014789,227.214999911,276.161163468,332.062642923,1286800,1920100,3206900,RESIDENTIAL A,2,NA
56001029,21.66223988,-157.9322239,4151.996887,273.2948076,14.33518476,11.75018259,10.63193259,8.507088685,5.608115005,23.82645449,22.93427778,21.58987394,19.81641659,4091.74049795,85.9850724088,123.527280562,194.733262911,291.742055348,205.625309713,240.844080213,292.509783545,348.662218519,1877200,2614900,4492100,RESIDENTIAL A,1,NA
56003025,21.70246894,-157.9691824,802.1747742,120.4770921,585.5452371,582.2755037,580.093747,576.7503413,572.6681862,22.57435459,22.57401965,21.60297505,0,34505.5468531,0,0,0,0,0,0,0,8845.25060449,51700,187500,239200,RESIDENTIAL,1,NA
57003037,21.6955639,-158.0116117,2269.328949,191.2017169,15.66188922,11.85497334,9.39541899,4.008843922,0,24.75414891,21.78953938,19.57882376,17.68906887,592.130095372,56.5656431324,92.1172129694,171.04400796,289.74498278,0,0,0,17.0221141529,870800,1850300,2721100,RESIDENTIAL A,3,2100
57003039,21.69562592,-158.0119744,4158.963989,292.2115953,7.087086365,3.226048207,0.58304364,0,0,11.34872826,10.65234704,9.223290608,7.244306343,929.503157964,101.800988624,171.194657793,319.85966226,544.883120101,62.4518036714,85.7273403301,114.535328734,163.742769734,1658900,2143100,3802000,RESIDENTIAL,1,2050
57003040,21.69565856,-158.0121937,1938.914581,193.3517102,8.048214237,4.027714689,1.217393451,0,0,13.42687839,12.44629971,10.7488139,9.311419772,599.100747681,65.3049719415,113.567384973,221.028797988,397.340352621,71.8196469017,82.0257330155,100.72184984,126.79216035,917400,1830700,2748100,RESIDENTIAL A,1,2050
57003041,21.69570685,-158.0125241,1142.315674,144.3609072,10.56739419,6.131458695,2.826772059,0,0,19.01593256,18.04829396,16.44411747,14.58383896,1116.71290128,133.621163831,227.878236528,408.216375916,609.803844397,267.088884801,293.895872981,338.759193091,394.662843107,1401900,2460600,3862500,RESIDENTIAL,1,2075
57003042,21.69577644,-158.012697,1670.442047,187.4923892,8.886573698,4.151016013,0.457169244,0,0,17.72852843,16.85248223,15.04444866,12.38805195,920.622768866,103.959821767,185.796352831,345.592886265,544.155188611,173.977327284,194.734450317,225.253736436,269.270099067,926500,2283500,3210000,RESIDENTIAL A,1,2050
57003043,21.69586108,-158.012889,2683.391022,211.6158216,10.77411255,5.950076355,2.1165621040000002,0,0,18.95711927,17.65660901,16.30650199,13.68940933,1052.65613875,103.004957064,187.636246014,348.176909194,580.242453542,161.002201485,179.961231641,210.869793966,256.620644311,1163000,2501000,3664000,RESIDENTIAL A,1,2075
57003044,21.69592926,-158.0131044,4847.175995,305.2226768,12.44667955,7.583861268,3.625312009,0,0,19.82359754,18.80055259,17.38254182,14.32898269,1335.81460455,88.7835972051,166.213552822,317.870708615,549.043908059,113.7602326,128.959368535,153.18228048,198.08116279,1591000,2586900,4177900,RESIDENTIAL,1,2075
57003045,21.69613342,-158.0132159,1749.525909,182.5180671,8.991672372,3.852487493,0,0,0,14.40199564,12.79004347,11.25977346,8.907732111,2327.3127069,116.739128543,216.783227301,406.589914343,684.961541546,189.053235328,211.983435784,253.949808775,309.55486331,971200,2860900,3832100,RESIDENTIAL A,1,2050
57003050,21.69753467,-158.0131863,2420.323395,205.4759398,61.76522736,58.03725479,55.49106813,50.31059984,43.03915113,9.364232221,9.364232221,8.638235119,7.854557699,1158.12398553,0,0,0,0,181.595079733,195.406182902,214.65482087,230.897725995,1177900,2319000,3496900,RESIDENTIAL A,1,NA
57003052,21.697376,-158.013848,1437.661377,160.4026028,54.94959359,50.21534825,46.53462859,39.62595723,30.03269446,10.19469988,8.817443967,6.459840908,0,2716.35918701,0,0,0,0,117.577273273,178.932874901,247.953150742,396.984785446,208200,1722200,1930400,RESIDENTIAL A,1,NA
57003054,21.69776737,-158.0133526,3474.960022,266.8879286,34.32294573,30.27236201,27.49773362,21.78643745,13.58222554,17.78099451,17.41234872,16.14016679,11.83352582,1029.0242378,0,0,0,0,68.2862359592,89.0776392155,107.941797404,137.319357458,1513700,2533200,4046900,RESIDENTIAL A,1,NA
57003055,21.69799552,-158.0132474,3151.065521,325.2304429,13.07019043,10.09768484,7.296191673,1.653984385,0,12.51758414,11.83994373,11.33560767,11.20948478,2007.00484472,17.0271439021,27.2475983711,44.4345766391,60.1126631672,521.659858699,567.215540075,616.09231665,673.426026091,1293300,3302600,4595900,RESIDENTIAL A,1,2100
57003056,21.69790153,-158.0136978,1901.076172,207.9815336,15.38129952,11.15080499,5.801684627,0,0,25.09984107,24.3875396,22.51738181,20.46323229,2506.98810924,217.639580407,416.516466603,703.146493033,1071.06708021,191.214119924,267.168047153,426.486142103,556.412305123,1206700,2598800,3805500,RESIDENTIAL A,1,2075
57003057,21.69770855,-158.0139817,975.4686279,135.2176517,19.84807482,15.09606222,11.39716426,4.464946471,0,28.01053836,27.16627384,25.6560441,23.88464798,1779.2896862,160.489211099,287.038773784,521.063913841,843.448203663,148.989031148,180.384834758,228.799983617,276.351201483,551300,2659500,3210800,RESIDENTIAL A,1,2100
57003058,21.6976144,-158.0142583,1792.898865,192.2603484,7.25197701,2.451745185,0,0,0,18.19611046,16.89370919,15.252258,13.35741308,1876.28523305,157.888885305,281.014216439,511.595916309,831.174210872,37.5181640205,68.9830279941,119.177634476,172.610378528,1240000,2333800,3573800,RESIDENTIAL,1,2050
57003059,21.69724274,-158.0143671,1089.121552,164.9403713,30.22781038,25.0540874,20.7456408,13.07367006,2.791823321,41.42987651,40.01541951,38.52765652,36.31399685,1921.21012726,152.460865954,276.17404416,501.283689521,807.166175006,0.5688371855,24.5379914147,70.9688102277,131.195556097,1249300,2659700,3909000,RESIDENTIAL A,1,NA
57003062,21.69689362,-158.0150412,1915.508301,185.9562597,13.85101349,8.769650884,4.608450878,0,0,27.19876117,26.24603872,24.99300679,23.51942572,2052.22638336,94.3910385585,248.16476606,511.396212192,840.990258886,0,0,0,0,1957600,1565200,3522800,RESIDENTIAL,1,2075
57005001,21.69662198,-158.0153169,2147.745514,189.5536412,11.95759404,6.795716188,2.451882851,0,0,59.89200041,59.17817008,58.48118942,57.56943825,1980.87287676,34.0168390487,165.662067737,400.487246876,714.81284174,0,0,0,0,1033200,2413100,3446300,RESIDENTIAL,1,2075
57005002,21.69637985,-158.0154051,2042.068756,214.3575389,14.052863,9.171553785,5.04198128,0,0,91.52375587,90.65053008,89.78482829,88.63116993,3102.8549031,90.8684042083,220.033401198,451.992379306,760.982140375,0,0,0,0,1000,1105000,1106000,RESIDENTIAL A,2,2075
57005003,21.69611041,-158.0155251,2797.044739,236.9581238,24.11635367,19.38709926,15.35310063,8.042606583,0,98.45253558,95.0682872,86.66158047,75.06178783,3760.02903406,48.575291465,174.621996229,403.318057785,709.240686981,0,0,0,0,2018000,2590200,4608200,RESIDENTIAL A,1,2100
57005008,21.69493376,-158.0165624,2084.257843,264.3209525,151.3427276,151.1676872,151.137039,151.137084,151.1370608,16.6261037,14.97851113,13.25719309,12.29001383,1354.43502081,0,0,0,0,0,0,0,4.23557904394,644900,1309600,1954500,RESIDENTIAL A,2,NA
