tmk,year_tce,total_value,public_costce_discounted
54009027,2024,762800,680139.9650000001
54009028,2024,801300,713487.5231999999
54009029,2030,784400,574775.9391234766
54009030,2024,723200,640554.584
54009052,2030,1198500,929477.3648743994
54010001,2024,1011100,1011100
54010002,2024,613600,613600
54010004,2024,387100,387100
54010006,2050,810300,373710.5377960154
54010009,2024,543300,543300
54010010,2024,717200,717200
54010011,2024,553500,553500
54010012,2024,562200,562200
54010013,2030,803500,672918.6002453162
54010014,2024,774700,769829.1340000001
54011001,2030,1283900,972761.3778529254
54011003,2024,1337100,1246411.402
54011014,2024,671900,601484.2304
54011023,2030,989900,733747.7715564372
54011024,2050,1015800,373894.6965218607
54011025,2024,1433000,1340799.083
54011027,2024,679700,625339.3781
54011028,2075,826100,132563.4296464162
54011029,2100,761600,65602.93065670074
54011030,2075,778400,149506.29657689502
54011031,2024,1006100,908177.3525
54011033,2030,1071600,821285.6120713324
54011034,2024,1361900,1275631.8308
54011035,2100,1111300,111594.78230234384
54011037,2024,822000,715362.5599999999
54011039,2024,689800,630734.7457000001
54011040,2024,1069400,1007366.472
54011042,2100,1420900,118605.37670973387
54012038,2024,1241500,1132649.77
54012040,2030,1561800,1221702.8971348496
54012041,2030,1072900,806695.5825972115
54012043,2024,1054400,911877.6140000001
54012044,2024,882100,730258.3225
54012045,2024,766900,660058.7749999999
55002002,2030,1283200,945822.060878697
55002006,2050,1567900,581376.6198858592
55002007,2050,1744200,692469.6552726073
55002008,2075,1823100,316610.89220422605
55002019,2100,3166500,263622.8638797673
55002020,2030,2605100,2100814.8206673427
55002024,2100,2747400,221724.62022874883
55002025,2024,1188400,1132450.3468
55002027,2075,2603800,487966.09222742193
55002028,2050,2746500,1165114.3069227503
55002029,2050,2633000,1112111.5067536747
55002030,2030,862100,721995.1776869784
55002031,2100,1063500,112488.57537696166
55002032,2050,3039000,1276994.6445793132
55002033,2030,1792700,1369815.7760381438
55002036,2100,975300,68991.43276012951
55002037,2075,3885100,693028.2392372619
55002038,2100,3118700,218308.8964400935
55002041,2030,2301200,1850174.4836653767
55002042,2075,2128000,406103.8053968325
55002046,2075,3311300,682475.5843260409
55002054,2075,1808400,305168.2598041506
55002061,2100,2240100,205003.6127476388
55002064,2100,1803000,138635.02704249704
55002065,2030,1655400,1213652.6989752362
55002069,2100,971300,66943.13599129567
55002076,2100,1219700,109555.41234549826
55002077,2050,1706300,543924.7427427287
55002078,2100,1367900,142962.5717891994
55002079,2075,864400,180603.75934024216
55002080,2075,1580300,190654.90741587643
55002081,2030,1566800,1137762.6626984212
55002082,2024,1723800,1583181.5676000002
55002084,2075,879800,192884.2155572775
55002085,2030,1869200,1354191.4496545908
55002086,2075,1896400,218454.22709433772
55002088,2030,2763500,2159166.4277138165
55002089,2050,1636200,622380.3967863898
