GEOID,block_group,tract,Owner occupied,Renter occupied
150039400051,1,9400.05,4.41,3.79
150039400061,1,9400.06,4.16,3.35
150039400071,1,9400.07,3.04,4.43
150039800001,1,9800,NA,NA
150039802001,1,9802,NA,NA
150039803001,1,9803,NA,NA
150039806001,1,9806,NA,4.8
150039807001,1,9807,NA,NA
150039808001,1,9808,NA,NA
150039810001,1,9810,NA,NA
150039811001,1,9811,NA,2.33
150039812001,1,9812,NA,NA
150039813001,1,9813,NA,3.72
150039814001,1,9814,NA,4.43
150039817001,1,9817,4.88,2.84
150039818011,1,9818.01,1.94,3.13
150039818021,1,9818.02,4,3.47
150039818031,1,9818.03,3.13,2.23
150039819001,1,9819,NA,NA
150039820001,1,9820,NA,3.8
150039821001,1,9821,NA,NA
150039822001,1,9822,NA,NA
150039900010,0,9900.01,NA,NA
