GEOID,block_group,tract,Owner occupied,Renter occupied
150030034111,1,34.11,1.64,2.76
150030034121,1,34.12,2.25,1.91
150030034131,1,34.13,1.09,2.23
150030034132,2,34.13,1.85,1.38
150030034141,1,34.14,1.92,2.5
150030034142,2,34.14,1.4,2.01
150030034143,3,34.14,1.9,1.71
150030034144,4,34.14,2.13,1.27
150030035011,1,35.01,1.89,1.48
150030035012,2,35.01,1.56,2.08
150030035031,1,35.03,2.62,1.91
150030035041,1,35.04,1.73,1.67
150030035042,2,35.04,2.3,1.6
150030036031,1,36.03,1.66,1.56
150030036032,2,36.03,1.81,1.88
150030036033,3,36.03,3.84,1.56
150030036041,1,36.04,1.58,1.64
150030036042,2,36.04,2.08,1.66
150030036051,1,36.05,1.78,1.68
150030036061,1,36.06,2.26,2.23
150030036062,2,36.06,1.99,1.57
150030037011,1,37.01,1.5,1.38
150030037012,2,37.01,1.92,2.44
150030037013,3,37.01,1.99,1.96
150030037014,4,37.01,NA,NA
150030037021,1,37.02,1.88,2.22
150030037022,2,37.02,2.03,2.14
150030037023,3,37.02,1.8,1.51
150030037024,4,37.02,1.86,2.1
150030037031,1,37.03,1.47,1.98
150030037032,2,37.03,1.68,NA
150030037033,3,37.03,1.74,2.26
150030037034,4,37.03,NA,NA
150030037035,5,37.03,2.29,2.55
150030038011,1,38.01,2.27,1.28
150030038012,2,38.01,2.47,2.28
150030038013,3,38.01,NA,NA
150030038014,4,38.01,1.8,1.81
150030038015,5,38.01,NA,NA
150030038021,1,38.02,2,1.2
150030038022,2,38.02,1.8,2.04
150030038023,3,38.02,2.02,1.7
150030038024,4,38.02,NA,NA
150030038025,5,38.02,1.64,1.64
150030039001,1,39,1.15,1.02
150030040001,1,40,1.53,1.95
150030040002,2,40,1.69,2.13
150030041011,1,41.01,1.51,1.52
150030041012,2,41.01,1.86,1.68
150030041021,1,41.02,1.63,1.38
150030041022,2,41.02,2.09,1.48
150030041023,3,41.02,1.37,2.63
150030042011,1,42.01,1.61,1.72
150030042012,2,42.01,1.65,1.68
150030042021,1,42.02,2.34,1.43
150030042022,2,42.02,1.46,1.34
150030043011,1,43.01,1.96,1.52
150030043012,2,43.01,2.4,2.73
150030043021,1,43.02,3.85,2.61
150030043022,2,43.02,NA,2.57
150030043023,3,43.02,3.2,1.84
150030044011,1,44.01,2.05,3.19
150030044012,2,44.01,4.43,4.08
150030044013,3,44.01,3.27,1.78
150030044021,1,44.02,4.09,3.44
150030044022,2,44.02,2.25,2.16
150030045001,1,45,2.4,5.02
150030045002,2,45,3.58,2.28
150030045003,3,45,1.42,1.58
150030045004,4,45,2.69,1.94
150030046001,1,46,3.03,3.14
150030046002,2,46,3.09,3.35
150030046003,3,46,3.84,2.51
150030046004,4,46,5.25,1.53
150030047011,1,47.01,3.14,4.39
150030047012,2,47.01,3.08,2.22
150030047021,1,47.02,3.09,3.52
150030047022,2,47.02,2.79,2.79
150030047023,3,47.02,3.54,2.55
150030048011,1,48.01,2.05,3.32
150030048012,2,48.01,2.9,2.59
150030048013,3,48.01,2.18,3.21
150030048021,1,48.02,3.63,3.24
150030048022,2,48.02,2.93,2.2
150030048023,3,48.02,6.95,3.21
150030049001,1,49,4.17,4.41
150030049002,2,49,4.15,2.84
150030049003,3,49,1.98,2.47
150030050001,1,50,3.3,1.34
150030050002,2,50,2.24,3.31
150030050003,3,50,2.53,1.62
150030050004,4,50,1.5,2.12
150030051001,1,51,1.97,1.62
150030051002,2,51,1.35,1.87
150030052001,1,52,NA,1.66
150030052002,2,52,NA,1.73
150030053001,1,53,NA,3.68
150030053002,2,53,2.41,1.79
150030054001,1,54,NA,3.64
150030055001,1,55,4.23,2.85
150030056011,1,56.01,6.6,2.53
150030056012,2,56.01,4.7,3.53
150030056021,1,56.02,5.19,10
150030056022,2,56.02,2.97,2.62
150030056023,3,56.02,5.04,3.07
150030057001,1,57,2.38,1.91
150030057002,2,57,NA,2.11
150030058001,1,58,3.33,3.47
150030058002,2,58,2.91,3.41
150030059001,1,59,3.04,3.12
150030059002,2,59,NA,NA
150030060001,1,60,6.19,4.03
150030060002,2,60,5.01,5.18
150030060003,3,60,4.26,3.68
150030061001,1,61,5.22,3.03
150030061002,2,61,5.54,7.08
150030062021,1,62.02,9.92,4.13
150030062022,2,62.02,NA,3.17
150030062031,1,62.03,4.2,3.57
150030062032,2,62.03,4.77,3.63
150030063011,1,63.01,4.16,5.24
150030063012,2,63.01,5.08,4.79
150030063013,3,63.01,4.76,5.25
150030063021,1,63.02,6.49,4.34
150030063022,2,63.02,3.81,4.75
150030064011,1,64.01,5.53,5.06
150030064021,1,64.02,2.96,2.61
150030064022,2,64.02,4.26,3.59
150030064023,3,64.02,5.38,4.46
150030064024,4,64.02,6.31,3.11
150030065001,1,65,3.9,3.16
150030065002,2,65,4.16,3.86
150030067031,1,67.03,2.93,4.09
150030067041,1,67.04,NA,2.2
150030067042,2,67.04,1.84,1.29
150030067043,3,67.04,2.89,7.98
150030067044,4,67.04,2.4,3.42
150030067045,5,67.04,3.02,4.53
150030068061,1,68.06,3.26,1.86
150030068062,2,68.06,2.76,4.43
150030068101,1,68.10,NA,4.41
150030068102,2,68.10,NA,2.88
150030068111,1,68.11,3.43,4.25
150030068121,1,68.12,2.38,2.42
150030068131,1,68.13,2.43,1.65
150030068132,2,68.13,3.85,NA
150030068133,3,68.13,2.61,1.99
150030068134,4,68.13,3.09,2.69
150030068141,1,68.14,3,3.91
150030068142,2,68.14,2.19,2.47
150030068151,1,68.15,2.15,2.84
150030068152,2,68.15,2.78,3.09
150030068161,1,68.16,4.61,2.96
150030068171,1,68.17,3.29,1.86
150030068172,2,68.17,6.31,5.14
150030068173,3,68.17,4.48,NA
150030068181,1,68.18,2.23,1.88
150030068191,1,68.19,1.93,1.79
150030068192,2,68.19,2.14,2.19
150030069001,1,69,NA,3.04
150030069002,2,69,NA,4.8
150030069003,3,69,NA,4.29
150030070011,1,70.01,NA,1.64
150030070012,2,70.01,2.88,2.19
150030070021,1,70.02,NA,3.44
150030070022,2,70.02,NA,2.1
150030071001,1,71,4.5,2.86
150030071002,2,71,NA,3.9
150030073021,1,73.02,NA,3.59
150030073022,2,73.02,NA,3.63
150030073023,3,73.02,NA,3.03
150030073024,4,73.02,NA,2.61
150030074001,1,74,2.4,2.4
150030074002,2,74,6.75,3.98
150030075041,1,75.04,2.28,2.86
150030075042,2,75.04,3.19,3.41
150030075071,1,75.07,3.25,2.57
150030075072,2,75.07,NA,NA
150030075073,3,75.07,2.5,2.71
150030075074,4,75.07,2.92,2.47
150030075081,1,75.08,NA,4.88
150030075082,2,75.08,2.83,2.78
150030075083,3,75.08,2.87,4
150030075084,4,75.08,3.52,2.26
150030075085,5,75.08,1.45,2.33
150030077011,1,77.01,3.2,1.59
150030077012,2,77.01,3.94,5.03
150030077013,3,77.01,2.47,3.57
150030077021,1,77.02,3.37,5.43
150030077022,2,77.02,2.52,1.76
150030077023,3,77.02,3.4,2.21
150030077024,4,77.02,2.87,2.62
150030078041,1,78.04,3.03,3.88
150030078042,2,78.04,3.38,4.67
150030078071,1,78.07,2.42,1.3
150030078072,2,78.07,1.77,1.79
150030078073,3,78.07,1.3,2.24
150030078074,4,78.07,1.6,1.38
150030078075,5,78.07,1.97,2.87
150030078081,1,78.08,4.03,3.4
150030078082,2,78.08,3.71,3.42
150030078083,3,78.08,2.26,1.6
150030078091,1,78.09,2.56,1.93
150030078092,2,78.09,2.51,2.15
150030078093,3,78.09,3.33,6.19
150030078121,1,78.12,2.03,3.05
150030078122,2,78.12,2.68,3.41
150030078131,1,78.13,3.83,4.82
150030078132,2,78.13,3.32,1.81
150030078133,3,78.13,3.66,NA
150030078141,1,78.14,2.94,3
150030078142,2,78.14,2.88,3.22
150030078151,1,78.15,2.51,3.18
150030078161,1,78.16,2.02,2.89
150030078162,2,78.16,2.78,3.22
150030078163,3,78.16,2.24,2.47
150030078171,1,78.17,2.98,3.33
150030078172,2,78.17,3.08,3.58
150030080011,1,80.01,6.12,1.83
150030080012,2,80.01,2.22,4.21
150030080021,1,80.02,3.63,3.7
150030080022,2,80.02,3.36,2.05
150030080051,1,80.05,2.67,5.08
150030080052,2,80.05,2.18,2.85
150030080053,3,80.05,2.15,NA
150030080054,4,80.05,3.5,1.61
150030080081,1,80.08,3.27,3.59
150030080082,2,80.08,NA,3.28
150030080091,1,80.09,4,1.53
150030080092,2,80.09,2.84,1.52
150030080101,1,80.10,2.77,2.43
150030080102,2,80.10,4.35,3.55
150030080111,1,80.11,3.14,5.11
150030080121,1,80.12,3.63,2.24
150030080122,2,80.12,3.69,3.13
150030080131,1,80.13,2.99,4.27
150030080132,2,80.13,3.36,2.65
150030083011,1,83.01,NA,NA
150030083012,2,83.01,NA,3.94
150030083013,3,83.01,NA,3.55
150030083014,4,83.01,NA,3.81
150030083021,1,83.02,4.51,8.12
150030083022,2,83.02,5.45,4.6
150030083023,3,83.02,4.49,5.03
150030084051,1,84.05,3.9,3.28
150030084052,2,84.05,3.89,2.21
150030084053,3,84.05,4.47,2.7
150030084071,1,84.07,3.53,3.71
150030084072,2,84.07,3.29,4.81
150030084081,1,84.08,2.54,1.95
150030084082,2,84.08,2.67,3.63
150030084083,3,84.08,3.51,2.67
150030084101,1,84.10,4.18,2.11
150030084102,2,84.10,3.42,3.27
150030084111,1,84.11,3.11,3.86
150030084112,2,84.11,1.89,2.39
150030084113,3,84.11,3.69,1.79
150030084131,1,84.13,4.35,9.73
150030084132,2,84.13,3.38,2.59
150030084141,1,84.14,3.53,3.05
150030084151,1,84.15,4.9,4.13
150030084152,2,84.15,3.02,2.91
150030084161,1,84.16,3.15,5.13
150030084162,2,84.16,4.04,3.35
150030084171,1,84.17,1.71,1.88
150030084172,2,84.17,2.74,2.82
150030084173,3,84.17,2.17,6.94
150030084181,1,84.18,3.15,3.37
150030084182,2,84.18,5.15,5.89
150030084183,3,84.18,3.89,3.1
150030085021,1,85.02,NA,2.88
150030086091,1,86.09,2.74,2.2
150030086101,1,86.10,1.99,2.03
150030086111,1,86.11,6.25,NA
150030086231,1,86.23,3.87,4.21
150030086232,2,86.23,3.11,3.29
150030086233,3,86.23,3.85,NA
150030086234,4,86.23,NA,NA
150030086241,1,86.24,4.09,2.92
150030086242,2,86.24,5.22,5.05
150030086251,1,86.25,4.85,NA
150030086252,2,86.25,4.33,1.76
150030086261,1,86.26,4.03,2.81
150030086262,2,86.26,3.99,3.94
150030086271,1,86.27,7.53,5.49
150030086272,2,86.27,3.67,4.81
150030086273,3,86.27,3.59,2.61
150030086274,4,86.27,5.23,3.21
150030086275,5,86.27,3.19,3.44
150030086281,1,86.28,3.89,3.96
150030086282,2,86.28,3.73,2.29
150030086291,1,86.29,2.99,4.12
150030086301,1,86.30,3.45,4.03
150030086302,2,86.30,4.23,3.18
150030086311,1,86.31,2.45,3.33
150030086312,2,86.31,2.15,1.6
150030086321,1,86.32,2.97,NA
150030086322,2,86.32,3.37,6.38
150030086323,3,86.32,4.31,4.76
150030086324,4,86.32,4.53,7
150030086331,1,86.33,2.96,3.52
150030086341,1,86.34,3.8,2.97
150030086342,2,86.34,2.75,4.49
150030086343,3,86.34,2.89,3.13
150030087021,1,87.02,3.09,2.51
150030087022,2,87.02,4.56,2.75
150030087023,3,87.02,6.66,3.43
150030087041,1,87.04,2.44,4.29
150030087042,2,87.04,4.51,5.91
150030087051,1,87.05,3.57,4.16
150030087052,2,87.05,2.95,4.43
150030087061,1,87.06,4.23,5.57
150030087062,2,87.06,5.31,3.51
150030087063,3,87.06,3.24,3.35
150030087071,1,87.07,4.13,4.22
150030087072,2,87.07,3.13,5.15
150030087073,3,87.07,6,4.37
150030087074,4,87.07,6.97,3.12
150030088011,1,88.01,5.16,3.25
150030088012,2,88.01,3.72,5.15
150030088021,1,88.02,3.54,5.41
150030088022,2,88.02,4.27,5.87
150030088023,3,88.02,4.81,3.39
150030089061,1,89.06,2.74,2.76
150030089062,2,89.06,2.78,2.21
150030089063,3,89.06,2.55,2.43
150030089091,1,89.09,2.72,3.88
150030089092,2,89.09,2.44,2.71
150030089093,3,89.09,3.07,2.57
150030089121,1,89.12,5.59,5
150030089122,2,89.12,4.46,4.14
150030089131,1,89.13,6.12,NA
150030089132,2,89.13,5.97,3.39
150030089133,3,89.13,4.66,5.59
150030089171,1,89.17,2.63,NA
150030089172,2,89.17,2.54,1.64
150030089173,3,89.17,2.21,3.65
150030089174,4,89.17,2.16,2.29
150030089175,5,89.17,2.54,4.32
150030089181,1,89.18,3.48,3
150030089182,2,89.18,3.19,2.33
150030089183,3,89.18,2.81,5.11
150030089184,4,89.18,2.28,1.87
150030089185,5,89.18,2.39,3.76
150030089211,1,89.21,4.2,3.4
150030089212,2,89.21,4.5,4.73
150030089261,1,89.26,2.3,2.22
150030089281,1,89.28,3.55,3.09
150030089282,2,89.28,3.3,2.07
